5018,69.79592,32.72727,1
5572,82.40964,45.00000,1
5306,75.16484,38.86364,1
5735,88.83117,49.09091,1
4918,68.40000,30.68182,1
5486,79.53488,42.95455,1
5116,71.25000,34.77273,1
5212,72.76596,36.81818,1
5655,85.50000,47.04545,1
5397,76.85393,40.90909,1
5886,96.33803,53.18182,1
5812,92.43243,51.13636,1
6025,106.87500,57.27273,1
5957,100.58824,55.22727,1
5398,80.89888,40.90909,1
5213,76.59574,36.81818,1
5307,79.12088,38.86364,1
6089,112.13115,59.31818,1
5487,83.72093,42.95455,1
5573,86.74699,45.00000,1
5117,75.00000,34.77273,1
6090,118.03279,59.31818,1
6151,126.31579,61.36364,1
6152,132.63158,61.36364,1
5958,105.88235,55.22727,1
5736,93.50649,49.09091,1
5656,90.00000,47.04545,1
6026,112.50000,57.27273,1
5887,101.40845,53.18182,1
5813,97.29730,51.13636,1
5019,73.46939,32.72727,1
6153,138.94737,61.36364,1
6024,101.25000,57.27273,1
6150,120.00000,61.36364,1
6154,145.26316,61.36364,1
6091,123.93443,59.31818,1
5885,91.26761,53.18182,1
6155,151.57895,61.36364,1
4817,70.58824,28.63636,1
5734,84.15584,49.09091,1
5811,87.56757,51.13636,1
4919,72.00000,30.68182,1
5956,95.29412,55.22727,1
5654,81.00000,47.04545,1
6027,118.12500,57.27273,1
6088,106.22951,59.31818,1
6092,129.83607,59.31818,1
6156,157.89474,61.36364,1
5571,78.07229,45.00000,1
6149,113.68421,61.36364,1
5017,66.12245,32.72727,1
6098,165.24590,59.31818,1
6097,159.34426,59.31818,1
5959,111.17647,55.22727,1
6209,140.00000,63.40909,1
5485,75.34884,42.95455,1
6208,133.33333,63.40909,1
5305,71.20879,38.86364,1
5888,106.47887,53.18182,1
5115,67.50000,34.77273,1
6096,153.44262,59.31818,1
6210,146.66667,63.40909,1
6093,135.73770,59.31818,1
6207,126.66667,63.40909,1
6036,168.75000,57.27273,1
5814,102.16216,51.13636,1
6094,141.63934,59.31818,1
5211,68.93617,36.81818,1
6095,147.54098,59.31818,1
5396,72.80899,40.90909,1
6028,123.75000,57.27273,1
5737,98.18182,49.09091,1
6157,164.21053,61.36364,1
6037,174.37500,57.27273,1
5399,84.94382,40.90909,1
5488,87.90698,42.95455,1
6099,171.14754,59.31818,1
6023,95.62500,57.27273,1
5960,116.47059,55.22727,1
6211,153.33333,63.40909,1
6035,163.12500,57.27273,1
5308,83.07692,38.86364,1
5657,94.50000,47.04545,1
5574,91.08434,45.00000,1
6148,107.36842,61.36364,1
6206,120.00000,63.40909,1
5214,80.42553,36.81818,1
5118,78.75000,34.77273,1
6087,100.32787,59.31818,1
5955,90.00000,55.22727,1
5884,86.19718,53.18182,1
6029,129.37500,57.27273,1
